p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,hl_category
2509.6947,2289.3413905558946,2199.329112932562,2166.2238801688773,2221.6607115996635,2305.4942421142955,2295.1287150566377,2304.5330811719646,2215.368973202427,2303.9938299946925,2338.0856547758744,2194.9256702596067,2115.5201189926197,2202.521565610687,2323.582182698579,2387.5261,Medium
1095.0792999999999,930.2630532330506,846.5838976469709,918.2385249698374,959.5261276574628,980.8019573290787,962.6154318462359,929.6403096438089,841.8816003129593,939.1871936482652,1017.1223272830987,950.7396229913638,881.2716523797285,887.2310467281682,945.262000647024,968.3097888888888,Medium
1664.5735,1476.759772617404,1339.1091038541679,1353.319862018372,1418.9453596417952,1474.3252144964872,1502.0300701284748,1451.4455106995727,1376.1114076165593,1465.0083164447803,1503.3133867185418,1413.5867340548741,1329.112540402345,1381.2535794657076,1478.4440732495823,1550.1323000000002,Medium
1156.9469,988.1201439812586,866.5778853375876,877.4634815556813,917.2890442292994,979.8574511001226,989.1434829217502,986.5357073509085,918.54906039055,970.0080740922351,994.0788290975858,911.896041734469,861.4363999067313,891.1881426551333,996.4220816509246,1051.241811111111,Medium
1670.902,1497.52045299894,1377.7015012655406,1389.709840109662,1457.4230505095022,1516.410285127863,1529.8108270301784,1469.384675982179,1398.9653760410831,1483.0962019609601,1523.5518759408483,1462.0293860817792,1391.4796901868565,1415.5661098620453,1488.9429180482173,1555.8352,Medium
1512.7339,1348.4102609326405,1245.83338134493,1273.1853608012111,1362.7389685884486,1410.2711897058368,1386.573253720176,1310.6970047183606,1235.3099576430043,1337.6449039935308,1417.7032441037902,1367.7917110653748,1275.3858105421896,1286.7861488955743,1340.1589876564142,1389.4921923076924,Medium
1727.4757,1562.4290403686382,1396.5649655012094,1374.5623044750812,1389.232187989099,1499.4902120237468,1549.1540431916028,1507.3970170635612,1476.7844005659126,1523.0012638291703,1515.1560999170053,1378.8612459776145,1353.7742188799584,1413.9097342490227,1545.5625471467579,1665.342757142857,Medium
1373.8355000000001,1178.7312328048388,990.4373681123608,915.6301662281385,991.8351478316883,1107.1938740766002,1108.9615275502815,1077.2084986707637,1112.8401470339336,1151.5777496514431,1146.0796993720594,1015.6670876702373,888.8795503343505,1024.6865319068672,1147.1245407312351,1230.9595,Medium
1722.3086999999998,1484.467269459239,1323.7359046280806,1235.9024904579571,1285.2814567010723,1428.6488145576905,1413.7787337966606,1448.6148209403102,1447.520852293157,1443.9475190500762,1417.5339736804017,1246.5857891916512,1195.3187817980854,1360.8612568295139,1501.0926427665204,1580.1649909090909,Medium
2248.5856000000003,2035.1293508549434,1890.2062414909874,1866.383789888255,2009.2719544810695,2064.36821242769,2039.1180858211762,1929.4446534286224,1906.8057443632297,2037.6496571749988,2094.7956231682,2019.9818924209542,1816.3979161167192,1904.2700863860903,2020.5001886423322,2096.2963777777777,Medium
3938.9973999999997,3766.9438446101894,3673.5308293922344,3616.141450415698,3652.5438482616996,3712.88748452757,3771.213075854751,3730.0113267649003,3727.0388741192614,3761.97647515638,3693.57787894414,3632.6871034883407,3644.8989361998806,3672.241477577172,3767.9578044025866,3825.9404,Medium
2127.2958,1948.497759435863,1878.5928908613025,1877.9770680988208,2007.4205813885135,2003.2372592551585,2002.409411496648,1881.9165810519105,1850.9644003983979,1943.586461570433,2025.309776871647,2003.3213393576834,1861.8719322317334,1898.1607398364156,1941.5140202192977,2016.2954,Medium
2218.0716,1954.8960673354652,1838.748263800188,1825.7437966610073,1955.8527952466047,2055.9098949333734,1996.7537127624498,1847.006213696175,1833.0540503978693,1999.1966592411363,2047.91834900201,2003.1599974465864,1746.4113362696803,1817.3243266093182,1999.0734539224813,2061.9384666666665,Medium
1008.0835000000001,788.5981259050295,640.7019707368512,662.332608442884,781.0230153224825,882.3184275729201,832.3218446767751,681.3184585989235,654.5311372478508,821.273869036843,889.0054952781506,823.040662456774,572.5681407643549,657.6517666749455,841.0598736594367,870.6415000000001,Medium
1969.6433000000002,1778.6523944341297,1763.3371227541488,1783.708783641723,1780.8586669350025,1865.4880993765967,1815.9742735854127,1777.1787586632784,1792.4111800249261,1804.1082814371082,1850.1201544634714,1807.2912464450558,1721.9194581529778,1774.0049434816099,1814.8751940322759,1868.8027588235295,Medium
1817.4824,1586.382962794395,1454.7373247412,1425.9059993159567,1537.6286833098343,1621.2839592774883,1598.4728961207293,1489.2882238225388,1490.1818718525992,1569.6226688865404,1642.472503916301,1546.9963856793227,1361.901722003135,1445.9595033454113,1626.2260650633634,1685.6003333333335,Medium
1220.4278,1011.7010202740535,1013.5386949028886,1019.9339842192157,1059.5281723540127,1155.9807848816693,1067.500612398694,978.1176918854418,994.9726801452304,1055.9200442041035,1126.0552839545844,1101.3994797924543,949.4224830822642,1007.6528765202856,1052.7892906562508,1095.9742,Medium
1350.2824,1166.8878370304637,1204.9573987098536,1113.010681528131,1283.304972910544,1210.8050882019784,1250.8953292786698,1139.3817439968698,1169.9606787861212,1195.320844649522,1261.0315769473648,1218.8614765802522,1128.1740677797413,1149.3847446943619,1191.2073311814922,1260.3783384615385,Medium
2315.1063,2135.582369389455,2100.4777397924768,2020.1153180142865,2129.1245083562003,2115.0020363670224,2149.6546152464325,2098.4347199425515,2114.2704249227454,2148.4526849438084,2160.412139667263,2119.764077484722,2028.380215640022,2080.091646608957,2125.920868997826,2165.383877777778,Medium
1942.1424000000002,1668.7658731405754,1480.456649663299,1491.7027683284687,1641.4023231145272,1843.131457118206,1685.8901696157413,1443.4023427090365,1479.9888249589046,1683.0134882918683,1822.4562452750663,1717.225976830265,1407.497739858001,1459.705617062765,1711.0893643446955,1801.646476923077,Medium
1985.2163999999998,1785.7466460477972,1616.101818145813,1636.5549085311618,1718.6631391079973,1876.494939273794,1799.6830328531796,1652.271218211184,1657.7519264785785,1765.7399770527875,1869.728600110604,1748.595781094574,1590.1289582741083,1639.9970037026496,1805.1382928920002,1903.1974,Medium
1978.1154,1785.579245257231,1614.3516474678445,1626.4009204008742,1721.854889287979,1883.6545275574101,1796.1760722278786,1650.9588119728558,1651.1149471113995,1750.3472492061796,1870.297991802432,1758.5457869145746,1592.593849889544,1645.20652678731,1799.2190514956067,1882.981,Medium
2376.3969,2179.834412680451,2157.170827506498,2212.473848032077,2167.315130619301,2241.8773988840057,2169.650183889523,2219.4711973135036,2156.9271121754687,2159.725106074279,2337.8908952721727,2140.052297402314,2130.538384114671,2199.24808212221,2157.89889509316,2233.1396142857143,Medium
2479.5829000000003,2293.553216821304,2281.799034254574,2331.9001394593515,2282.50478127386,2355.881954172315,2275.731622557746,2326.5807501286713,2274.555926047042,2276.3896569705475,2451.798693690306,2265.6295068216964,2260.589199581339,2313.271789508183,2261.4577293041443,2336.2798142857146,Medium
2446.3100000000004,2232.7750112087556,2194.082091006999,2221.93303092309,2199.7740825001943,2293.785102505673,2223.151213781832,2262.231702444614,2206.83237616414,2214.0562765139443,2378.254956028807,2175.4681367022417,2149.2214508182383,2232.716399614042,2213.301271636828,2320.1695238095244,Medium
2531.3563999999997,2325.209395207772,2330.367881022909,2358.8030725196904,2322.5545410279055,2426.253683708997,2311.8496151963755,2354.5772404824374,2317.777979066155,2315.0912554491715,2497.076959965763,2305.9075482988515,2302.207296299863,2348.2906203803022,2291.5364510975173,2411.5021428571426,Medium
2589.9358999999995,2412.321492119102,2405.979200136627,2445.403346835452,2390.682979312636,2466.293561611658,2384.1454672697105,2440.114042543863,2398.683182889789,2395.240564318625,2562.1871556165997,2384.359776063163,2384.756343775601,2426.869300377471,2369.722185542907,2446.5872142857143,Medium
1771.9270000000001,1566.9525897594042,1421.9866338906336,1460.9479164086736,1538.7557769749278,1682.4213586088572,1568.9933875281956,1440.9142891413019,1422.4911843349971,1538.4720063919378,1701.8824804942626,1559.219021686931,1400.8897590302804,1442.4926359911942,1561.1910264136725,1654.0367142857144,Medium
5408.963499999999,5202.2809128771905,5099.917135712762,5094.127171026131,5190.56304247746,5314.250666718276,5211.453489182733,5120.618809569956,5103.82196648754,5206.89068273049,5296.8059512977015,5199.883743739297,5071.3465134276585,5111.975445795383,5204.340250128886,5269.194433333333,Medium
2311.2935,2117.872601153159,2074.0759403309085,2036.8620012800857,2109.5984691485787,2181.738725901582,2120.203361122956,2094.3189910158667,2068.4255633146727,2146.716585252369,2163.7321272759827,2112.8968000891023,2031.5794272654196,2054.848231179903,2115.8036039748995,2190.402611111111,Medium
1148.4329,1015.1475725310936,917.21737698051,969.8308532164291,1004.0142020216852,1060.7398342428316,1057.437432433006,960.9393726885538,908.3786256868071,1003.8590377516223,1073.0057845807312,1001.7337658046316,962.4260527800625,951.5203994510933,984.5389166754351,1043.2509000000002,Medium
1845.7449000000001,1591.828617934113,1451.911901171068,1498.1346897272072,1604.8752185347403,1708.790445372828,1640.3207629814813,1483.7771894399652,1446.2660489394568,1588.9118814593523,1758.373942840706,1618.3080840790103,1395.6230868364773,1495.840285995191,1607.4131761475571,1679.7067666666667,Medium
4062.2916,3887.48270880802,3803.249153122175,3789.169146870722,3873.0564743890277,3945.8498161114453,3889.408150324269,3794.407905914402,3779.175957915004,3881.720118696276,3923.8870945560952,3899.68929106463,3769.9739804342116,3807.6068599681366,3909.3801822543946,3945.9336969696974,Medium
2305.9266,2107.5213334276123,1952.2639139386633,1916.8814040167374,2022.5751150024794,2082.7585545884026,2084.9269006112117,2015.3843367714646,1993.2048637117948,2076.8243488595963,2102.268916766911,2026.5736583360783,1870.2069755379566,1980.688906355493,2110.191777393073,2171.832288888889,Medium
3092.6920999999998,2858.82610759164,2706.961646227586,2764.9301573832395,2845.717945532179,2973.7411640167966,2891.2039986133286,2735.900311660275,2724.17159279989,2858.6916892480804,3004.9478637462244,2887.0181327988603,2660.765739604823,2739.387202906746,2886.9267766560033,2923.2729571428567,Medium
